model,status,accuracy,precision_macro,recall_macro,f1_macro,error
XGBoost,success,0.9510929391413744,0.9642998909737176,0.8386731865075507,0.890478801324029,
Random Forest,success,0.8951362215563315,0.7760252524712579,0.9198424499752986,0.7949010798774987,
CNN1D,success,0.8574622959153998,0.7377600212014572,0.8781690974764365,0.7779121318718438,
LightGBM,success,0.8661448448644677,0.7226047802965675,0.906768511245318,0.7567474721459393,
MLP,success,0.844817075141047,0.6930598032773135,0.8555976969271298,0.7212587906997595,
